"App name","Date","Time","Duration"
"App Usage","12/26/23","9:42:31 PM","0:01:01"
"Screen on (unlocked)","12/26/23","9:42:31 PM","0:00:01"
"Screen on (locked)","12/26/23","9:42:25 PM","0:00:06"
"Screen off (locked)","12/26/23","9:41:08 PM","0:01:18"
"App Usage","12/26/23","9:41:02 PM","0:00:05"
"OneDrive","12/26/23","9:40:42 PM","0:00:20"
"App Usage","12/26/23","9:40:17 PM","0:00:20"
"Facebook","12/26/23","9:40:12 PM","0:00:01"
"Screen on (unlocked)","12/26/23","9:40:12 PM","0:00:00"
"Screen on (locked)","12/26/23","9:40:09 PM","0:00:02"
"Screen off (locked)","12/26/23","9:04:30 PM","0:35:40"
"Facebook","12/26/23","9:01:07 PM","0:03:23"
"Screen on (unlocked)","12/26/23","9:01:07 PM","0:00:00"
"Screen on (locked)","12/26/23","9:01:04 PM","0:00:03"
"Screen off (locked)","12/26/23","8:55:39 PM","0:05:25"
"Facebook","12/26/23","8:54:05 PM","0:01:34"
"App Usage","12/26/23","8:53:51 PM","0:00:10"
"Screen on (unlocked)","12/26/23","8:53:50 PM","0:00:00"
"Screen on (locked)","12/26/23","8:53:46 PM","0:00:05"
"Screen off (locked)","12/26/23","7:04:55 PM","1:48:50"
"App Usage","12/26/23","7:04:39 PM","0:00:16"
"OneDrive","12/26/23","7:03:46 PM","0:00:53"
"OneDrive","12/26/23","7:03:28 PM","0:00:11"
"App Usage","12/26/23","7:02:23 PM","0:01:00"
"Screen on (unlocked)","12/26/23","7:02:18 PM","0:00:05"
"Screen on (locked)","12/26/23","7:02:16 PM","0:00:02"
"Screen off (locked)","12/26/23","7:02:12 PM","0:00:04"
"Messenger","12/26/23","7:01:37 PM","0:00:32"
"Messenger","12/26/23","7:01:25 PM","0:00:01"
"Messenger","12/26/23","7:01:14 PM","0:00:09"
"Mes Comptes - LCL","12/26/23","7:00:47 PM","0:00:17"
"Mes Comptes - LCL","12/26/23","6:59:33 PM","0:00:54"
"Messenger","12/26/23","6:59:22 PM","0:00:10"
"Mes Comptes - LCL","12/26/23","6:58:42 PM","0:00:39"
"Messenger","12/26/23","6:58:34 PM","0:00:01"
"Messenger","12/26/23","6:58:20 PM","0:00:12"
"App Usage","12/26/23","6:58:13 PM","0:00:07"
"Screen on (unlocked)","12/26/23","6:58:13 PM","0:00:00"
"Screen on (locked)","12/26/23","6:58:11 PM","0:00:02"
"Screen off (locked)","12/26/23","6:39:52 PM","0:18:19"
"Screen on (unlocked)","12/26/23","6:35:30 PM","0:04:22"
"App Usage","12/26/23","6:35:30 PM","0:00:00"
"Screen on (locked)","12/26/23","6:35:28 PM","0:00:01"
"Screen off (locked)","12/26/23","6:31:30 PM","0:03:58"
"App Usage","12/26/23","6:29:01 PM","0:02:29"
"Digital Wellbeing","12/26/23","6:27:32 PM","0:01:26"
"Screen on (unlocked)","12/26/23","6:26:42 PM","0:00:08"
"Facebook","12/26/23","6:26:42 PM","0:00:00"
"Screen on (locked)","12/26/23","6:26:40 PM","0:00:02"
"Screen off (locked)","12/26/23","6:26:22 PM","0:00:18"
"Facebook","12/26/23","6:26:18 PM","0:00:04"
"Screen on (unlocked)","12/26/23","6:26:18 PM","0:00:00"
"Screen on (locked)","12/26/23","6:26:15 PM","0:00:03"
"Screen off (locked)","12/26/23","6:01:10 PM","0:25:05"
"Facebook","12/26/23","5:59:48 PM","0:01:22"
"Messenger","12/26/23","5:58:35 PM","0:01:11"
"Facebook","12/26/23","5:57:59 PM","0:00:35"
"Messenger","12/26/23","5:57:34 PM","0:00:24"
"Facebook","12/26/23","5:55:41 PM","0:01:52"
"Screen on (unlocked)","12/26/23","5:55:41 PM","0:00:00"
"Screen on (locked)","12/26/23","5:55:39 PM","0:00:02"
