,grp,month,total_duration
0,Amazon,5,16
1,Amazon,6,298
2,Amazon,7,701
3,Amazon,8,478
4,Amazon,9,314
5,Amazon,10,247
6,Amazon,11,144
7,Chrome,5,318
8,Chrome,6,824
9,Chrome,7,626
10,Chrome,8,643
11,Chrome,9,701
12,Chrome,10,720
13,Chrome,11,866
14,Disney Plus,5,82
15,Disney Plus,6,717
16,Disney Plus,7,94
17,Disney Plus,8,426
18,Disney Plus,9,53
19,Disney Plus,10,248
20,Disney Plus,11,257
21,Food-delivery Apps,5,45
22,Food-delivery Apps,6,188
23,Food-delivery Apps,7,124
24,Food-delivery Apps,8,79
25,Food-delivery Apps,9,251
26,Food-delivery Apps,10,53
27,Gallery,5,23
28,Gallery,6,33
29,Gallery,7,49
30,Gallery,8,32
31,Gallery,9,48
32,Gallery,10,10
33,Gallery,11,9
34,Games Apps,5,1239
35,Games Apps,6,864
36,Games Apps,7,68
37,Games Apps,8,95
38,Games Apps,9,51
39,Games Apps,10,1785
40,Games Apps,11,853
41,Goodreads,5,3
42,Goodreads,6,27
43,Goodreads,7,58
44,Goodreads,8,81
45,Goodreads,9,68
46,Goodreads,10,213
47,Goodreads,11,242
48,Google Services,5,8
49,Google Services,6,106
50,Google Services,7,89
51,Google Services,8,37
52,Google Services,9,33
53,Google Services,10,30
54,Google Services,11,96
55,Instagram,5,1126
56,Instagram,6,2606
57,Instagram,7,3055
58,Instagram,8,2874
59,Instagram,9,3059
60,Instagram,10,2191
61,Instagram,11,2168
62,Others,5,64
63,Others,6,211
64,Others,7,171
65,Others,8,145
66,Others,9,127
67,Others,10,89
68,Others,11,102
69,Phone,5,414
70,Phone,6,1022
71,Phone,7,872
72,Phone,8,928
73,Phone,9,557
74,Phone,10,532
75,Phone,11,402
76,Screen off,5,18016
77,Screen off,6,39198
78,Screen off,7,38614
79,Screen off,8,37799
80,Screen off,9,38339
81,Screen off,10,36801
82,Screen off,11,30542
83,Settings,5,9
84,Settings,6,3
85,Settings,7,12
86,Settings,9,3
87,Settings,10,2
88,Settings,11,1
89,WhatsApp,5,641
90,WhatsApp,6,794
91,WhatsApp,7,927
92,WhatsApp,8,1129
93,WhatsApp,9,1061
94,WhatsApp,10,1076
95,WhatsApp,11,700
96,YouTube,5,183
97,YouTube,6,505
98,YouTube,7,1094
99,YouTube,8,1089
100,YouTube,9,832
101,YouTube,10,523
102,YouTube,11,169
