pid,grp,duration
1,met,16
1,lived,246
1,married,-99
2,met,46
2,romantic,3
2,lived,89
2,married,-99
3,met,26
3,romantic,21
3,married,-99
4,met,7
4,romantic,10
4,lived,17
4,married,-99
5,romantic,114
5,married,-99
6,met,28
6,romantic,47
6,married,-99
7,met,9
7,romantic,45
7,lived,24
7,married,-99
8,met,1
8,romantic,95
8,lived,16
8,married,-99
9,met,5
9,romantic,31
9,lived,40
9,married,-99
10,met,35
10,romantic,130
10,married,-99
11,met,22
11,romantic,74
11,lived,26
11,married,-99
12,met,1
12,romantic,16
12,lived,13
12,married,-99
13,met,2
13,romantic,61
13,lived,11
13,married,-99
14,met,13
14,romantic,6
14,lived,22
14,married,-99
15,met,108
15,romantic,7
15,married,-99
16,lived,19
16,married,-99
17,met,1
17,romantic,4
17,lived,32
17,married,-99
18,met,7
18,romantic,10
18,lived,17
18,married,-99
19,met,17
19,romantic,33
19,lived,44
19,married,-99
20,romantic,1
20,lived,118
20,married,-99
21,met,11
21,romantic,7
21,lived,9
21,married,-99
22,romantic,6
22,lived,14
22,married,-99
23,met,90
23,romantic,21
23,lived,44
23,married,-99
24,met,50
24,romantic,40
24,lived,2
24,married,-99
25,met,69
25,romantic,5
25,lived,17
25,married,-99
26,met,3
26,romantic,6
26,married,-99
27,met,26
27,romantic,12
27,lived,7
27,married,-99
28,romantic,43
28,lived,36
28,married,-99
29,met,1
29,romantic,34
29,lived,230
29,married,-99
30,met,119
30,romantic,20
30,lived,19
30,married,-99
31,met,220
31,romantic,4
31,lived,2
31,married,-99
32,met,3
32,lived,63
32,married,-99
33,met,93
33,romantic,50
33,married,-99
34,romantic,32
34,lived,101
34,married,-99
35,met,5
35,romantic,378
35,lived,1
35,married,-99
36,met,11
36,romantic,2
36,lived,24
36,married,-99
37,romantic,5
37,married,-99
38,romantic,21
38,lived,33
38,married,-99
39,met,1
39,romantic,2
39,married,-99
40,met,2
40,romantic,41
40,lived,139
40,married,-99
41,met,31
41,romantic,57
41,married,-99
42,met,10
42,romantic,2
42,lived,36
42,married,-99
43,met,22
43,romantic,74
43,lived,26
43,married,-99
44,met,1
44,romantic,2
44,married,-99
45,romantic,1
45,lived,2
45,married,-99
46,met,1
46,romantic,20
46,lived,70
46,married,-99
47,met,21
47,lived,12
47,married,-99
48,met,57
48,romantic,193
48,lived,9
48,married,-99
49,met,3
49,romantic,12
49,lived,16
49,married,-99
50,romantic,45
50,lived,1
50,married,-99
51,met,3
51,romantic,21
51,lived,13
51,married,-99
52,met,9
52,romantic,45
52,lived,24
52,married,-99
53,met,3
53,lived,10
53,married,-99
54,met,3
54,romantic,2
54,lived,109
54,married,-99
55,met,3
55,romantic,7
55,lived,11
55,married,-99
56,met,31
56,romantic,161
56,lived,13
56,married,-99
57,romantic,31
57,married,-99
58,met,22
58,romantic,74
58,lived,26
58,married,-99
59,met,3
59,romantic,21
59,lived,13
59,married,-99
60,romantic,3
60,lived,22
60,married,-99
61,met,31
61,romantic,13
61,lived,30
61,married,-99
62,met,49
62,romantic,35
62,lived,18
62,married,-99
63,met,1
63,romantic,46
63,married,-99
64,met,1
64,romantic,11
64,lived,16
64,married,-99
65,romantic,25
65,lived,102
65,married,-99
66,met,1
66,romantic,27
66,lived,42
66,married,-99
67,met,3
67,romantic,2
67,lived,10
67,married,-99
68,met,21
68,lived,12
68,married,-99
69,met,87
69,romantic,16
69,married,-99
70,met,3
70,romantic,1
70,lived,90
70,married,-99
71,met,1
71,romantic,3
71,lived,77
71,married,-99
72,met,1
72,romantic,5
72,lived,5
72,married,-99
73,romantic,4
73,lived,8
73,married,-99
74,romantic,41
74,lived,34
74,married,-99
75,met,67
75,romantic,8
75,lived,33
75,married,-99
76,met,3
76,romantic,4
76,married,-99
77,romantic,9
77,lived,29
77,married,-99
78,met,28
78,romantic,22
78,lived,21
78,married,-99
79,met,1
79,romantic,9
79,lived,25
79,married,-99
80,romantic,2
80,lived,15
80,married,-99
81,met,9
81,romantic,21
81,lived,127
81,married,-99
82,met,5
82,romantic,7
82,married,-99
83,romantic,63
83,lived,11
83,married,-99
84,romantic,5
84,lived,52
84,married,-99
85,met,286
85,romantic,6
85,lived,13
85,married,-99
86,met,39
86,romantic,13
86,lived,8
86,married,-99
87,met,21
87,lived,12
87,married,-99
88,met,1
88,romantic,46
88,married,-99
89,romantic,18
89,lived,61
89,married,-99
90,romantic,2
90,lived,41
90,married,-99
91,met,11
91,romantic,22
91,married,-99
92,romantic,12
92,lived,5
92,married,-99
93,met,3
93,romantic,7
93,lived,6
