App name,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
Amazon,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,1,0,1,9,14,16,11,21,41,37,18,28,26,15,25,7,9,28,20,7,9,13,17,19,19,27,25,21,17,7,22,13,6,8,2,12,17,9,9,9,4,7,13,6,21,27,25,17,25,23,18,10,12,28,29,26,17,10,17,13,15,19,10,16,32,52,51,27,19,18,19,35
Chrome,43,10,13,0,3,9,3,0,2,0,4,2,0,1,0,8,10,5,6,2,2,8,2,2,7,2,7,17,8,16,11,24,22,30,31,19,28,18,15,13,22,26,14,25,23,16,25,22,22,19,31,17,21,34,13,23,12,14,17,28,21,22,28,11,21,21,20,17,27,20,22,20,41,29,24,24,22,21,31,49,22,20,13,15,12,26,19,34,32,50,79,87,62,83,46,27
Disney Plus,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,4,1,4,5,2,6,3,3,7,9,11,5,7,16,10,9,8,7,8,10,15,15,8,11,11,13,16,13,12,16,16,9,9,11,7,9,5,9,12,11,13,14,10,9,15,15,8,10,17,16,27,17,28,25,20,10,5,3,5,2
Food-delivery Apps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13,8,15,7,1,2,3,2,7,17,36,71,57,63,44,28,22,16,6,1,7,13,16,4,7,10,8,16,8,2,8,2,2,1,2,6,3,1,0,0,8,10,10,6,1,4,2,0,0,0,1,0,0,0,0,0
Gallery,1,0,0,2,0,0,0,0,0,5,3,6,0,0,0,3,0,0,5,0,0,1,0,0,0,0,0,2,1,9,3,2,0,7,6,5,11,16,9,17,11,9,27,5,35,21,13,25,5,8,21,8,7,15,14,3,10,6,11,15,6,6,8,8,23,7,18,5,32,18,13,19,37,68,27,41,16,23,11,35,13,10,20,11,14,10,18,7,12,21,9,8,3,9,7,5
Games Apps,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,1,1,2,8,4,7,3,5,4,4,6,4,3,4,6,2,6,3,2,10,9,11,16,6,3,12,11,6,10,10,7,17,17,11,6,9,7,7,4,4,5,14,10,7,14,8,14,11,12,19,7,10,5,6,6,18,15,25,25,17,12,8,3,3,1,4
Goodreads,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,1,4,10,13,20,23,13,16,38,34,21,21,28,19,17,14,15,18,9,19,10,11,14,15,10,11,16,8,12,12,11,16,11,20,11,18,16,17,9,12,6,11,20,5,15,19,23,20,23,16,18,19,17,22,11,26,17,11,11,10,14,19,12,11,26,21,25,17,23,21,6,2
Google Services,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,12,6,13,10,16,5,14,4,7,15,6,8,9,11,16,23,9,16,39,30,21,20,38,31,31,21,13,18,18,10,5,6,11,9,6,21,11,10,9,13,8,12,13,22,18,14,10,17,18,11,7,11,10,19,11,19,6,10,21,5,11,9,10,7,3,9,7,6,5
Instagram,34,21,23,15,13,10,4,3,1,5,3,2,0,1,3,1,6,12,10,9,3,3,9,14,8,17,29,39,63,63,77,78,89,130,112,81,90,95,85,69,63,72,70,73,63,43,40,46,62,30,77,69,66,71,59,80,90,81,66,98,84,65,62,66,66,61,74,82,70,81,83,84,84,88,79,86,96,108,93,73,94,69,53,69,86,82,101,105,177,140,170,175,164,138,96,33
Phone,16,7,1,0,0,0,0,0,8,9,4,1,0,0,5,32,17,3,8,8,0,0,2,4,6,3,14,8,19,13,6,18,17,24,29,32,43,61,139,175,133,98,83,72,63,54,46,51,57,64,64,74,65,78,76,85,133,108,77,57,66,42,27,22,53,83,38,65,79,45,71,60,93,88,111,129,79,99,93,143,134,194,159,129,160,146,115,95,117,108,77,54,33,19,12,7
